               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11579,            0.035435,            0.039044,           0.0046306,            0.066667,           0.0023062,          0.00036328,             0.10905,            0.028559,            0.036875,             0.00028,             0.00028,             0.09748
                   1,            0.098501,            0.040497,            0.035316,             0.01626,            0.075214,           0.0083714,           0.0016888,            0.082628,            0.034519,            0.030014,          0.00056949,          0.00056949,            0.094869
                   2,            0.088221,            0.046626,            0.031549,             0.21828,             0.28205,              0.1632,            0.047903,             0.07255,            0.034398,            0.024538,          0.00085695,          0.00085695,            0.092257
                   3,            0.079492,             0.04824,            0.026791,             0.51951,             0.41197,             0.35377,             0.13064,            0.065833,            0.031316,            0.018636,           0.0011408,           0.0011408,            0.089641
                   4,            0.072256,            0.044562,            0.022586,             0.59716,             0.35076,             0.30267,            0.087604,            0.062685,            0.027695,            0.014447,           0.0014196,           0.0014196,             0.08702
                   5,             0.06759,            0.040053,            0.018467,              0.4042,             0.71624,             0.59865,             0.20711,            0.057639,            0.025201,            0.011244,           0.0016919,           0.0016919,            0.084392
                   6,             0.06491,            0.035189,            0.016237,             0.71293,             0.46508,             0.56025,             0.19229,            0.054895,            0.023182,           0.0094371,           0.0019562,           0.0019562,            0.081756
                   7,            0.066834,             0.03411,            0.013948,             0.38598,             0.65567,               0.433,             0.09821,            0.056071,             0.02145,           0.0087524,           0.0022111,           0.0022111,            0.079111
                   8,            0.066528,            0.030298,            0.013134,             0.39806,              0.7265,             0.51555,             0.16796,            0.056425,            0.020493,           0.0082589,           0.0024553,           0.0024553,            0.076455
                   9,            0.065544,            0.031115,             0.01246,             0.50793,             0.80353,             0.64422,             0.20721,            0.055525,            0.019381,           0.0077907,           0.0026875,           0.0026875,            0.073788
                  10,            0.062676,            0.029156,            0.011646,             0.53813,             0.69965,             0.62514,             0.25938,             0.05378,            0.018471,           0.0068733,           0.0029067,           0.0029067,            0.071107
                  11,            0.061372,            0.028403,            0.010787,             0.50466,             0.64899,             0.57428,             0.19998,            0.053068,            0.017669,           0.0062424,           0.0031117,           0.0031117,            0.068412
                  12,            0.062991,            0.027549,            0.009274,             0.52393,             0.67251,             0.62053,             0.17489,            0.057455,            0.017461,           0.0060209,           0.0033014,           0.0033014,            0.065701
                  13,            0.063839,            0.027096,           0.0090928,             0.56406,             0.81757,             0.77141,             0.36589,            0.048479,            0.017426,           0.0059064,           0.0034751,           0.0034751,            0.062975
                  14,            0.061441,            0.027214,           0.0080716,             0.70218,             0.60397,             0.68094,             0.31854,             0.05263,            0.016455,           0.0062365,           0.0036319,           0.0036319,            0.060232
                  15,            0.057573,             0.02693,           0.0080326,             0.70743,             0.78717,             0.80505,             0.35149,            0.047429,            0.016137,           0.0046136,           0.0037712,           0.0037712,            0.057471
                  16,            0.056724,            0.025854,           0.0073283,             0.59036,             0.84565,             0.81318,             0.25729,            0.049677,            0.015783,           0.0043571,           0.0038923,           0.0038923,            0.054692
                  17,            0.058742,            0.024575,           0.0077515,              0.5922,             0.84395,             0.76579,             0.33902,            0.051278,            0.015813,           0.0051787,            0.003995,            0.003995,            0.051895
                  18,            0.057876,             0.02363,           0.0071595,             0.65649,             0.77422,             0.76788,             0.31618,            0.051239,            0.014798,            0.003866,           0.0040788,           0.0040788,            0.049079
                  19,            0.052905,            0.024638,           0.0066758,             0.44984,              0.7954,             0.67869,             0.27181,            0.051393,            0.014539,           0.0038604,           0.0041436,           0.0041436,            0.046244
                  20,            0.055111,            0.022592,           0.0068006,             0.83637,             0.85303,             0.90161,             0.41202,            0.041411,             0.01477,           0.0039097,           0.0041895,           0.0041895,            0.043389
                  21,            0.050744,            0.023443,           0.0062172,             0.88104,             0.86529,             0.93007,             0.43484,            0.040974,            0.014236,           0.0047165,           0.0042164,           0.0042164,            0.040516
                  22,            0.051634,            0.023053,            0.006171,             0.65617,             0.75726,             0.74052,             0.30766,            0.049435,            0.014024,           0.0036977,           0.0042246,           0.0042246,            0.037625
                  23,            0.053942,            0.024018,           0.0057585,             0.70426,             0.71263,             0.78734,             0.37828,            0.048035,            0.014215,           0.0033584,           0.0042145,           0.0042145,            0.034714
                  24,            0.050247,            0.024389,           0.0062875,             0.88871,             0.79134,             0.90762,             0.48205,             0.03863,            0.014258,           0.0053702,           0.0041866,           0.0041866,            0.031787
                  25,            0.047619,            0.023248,           0.0060763,             0.83147,             0.75726,             0.88383,             0.38814,             0.03978,            0.013971,           0.0037276,           0.0041415,           0.0041415,            0.028842
                  26,            0.044986,            0.022289,           0.0050271,              0.7909,             0.88547,             0.91249,             0.43739,            0.041953,            0.013909,           0.0029522,             0.00408,             0.00408,             0.02588
                  27,            0.048076,            0.022351,           0.0047557,             0.80521,             0.89869,             0.90893,             0.45361,            0.041174,            0.014418,           0.0035849,           0.0040031,           0.0040031,            0.022903
                  28,            0.044995,            0.022262,           0.0051346,             0.75639,              0.9242,             0.91098,             0.41806,            0.039304,            0.013671,           0.0036946,           0.0039117,           0.0039117,            0.019912
                  29,            0.044105,            0.021677,           0.0051646,             0.70173,             0.82393,             0.86124,             0.41517,            0.042828,             0.01313,           0.0033192,            0.003807,            0.003807,            0.016907
                  30,            0.044822,            0.019733,           0.0051312,             0.76092,             0.94231,             0.90954,             0.38466,            0.039408,            0.013467,           0.0032014,           0.0036903,           0.0036903,             0.01389
                  31,            0.041976,            0.020095,           0.0044892,             0.77274,             0.80045,             0.85189,             0.39796,            0.040276,             0.01365,           0.0031134,           0.0035629,           0.0035629,            0.010863
                  32,            0.044732,            0.020791,           0.0048583,              0.8557,             0.89453,             0.91104,             0.43412,            0.039063,            0.013562,           0.0039985,           0.0034263,           0.0034263,           0.0078263
                  33,            0.042382,            0.019713,           0.0043355,             0.85484,             0.85966,              0.8878,             0.43619,            0.039837,             0.01344,           0.0039544,           0.0032821,           0.0032821,           0.0047821
                  34,            0.040216,            0.019091,           0.0039232,             0.90033,             0.99145,             0.98423,             0.53247,             0.03398,            0.013521,            0.003154,           0.0030888,           0.0030888,           0.0030888
                  35,            0.039611,             0.02056,           0.0043861,             0.90733,             0.93452,             0.97817,             0.49197,             0.03662,            0.013459,            0.003959,           0.0030888,           0.0030888,           0.0030888
                  36,            0.037607,            0.019923,           0.0036883,             0.92432,             0.94286,             0.95647,             0.47291,            0.038147,            0.013233,           0.0023865,            0.002855,            0.002855,            0.002855
                  37,            0.037273,            0.018365,           0.0035121,             0.98188,             0.94828,             0.98518,             0.49278,            0.036245,            0.013421,           0.0021464,           0.0026316,           0.0026316,           0.0026316
                  38,            0.035341,            0.018104,           0.0038693,             0.97906,             0.94537,             0.98165,               0.561,            0.032997,            0.013367,           0.0020322,           0.0024195,           0.0024195,           0.0024195
                  39,            0.031024,            0.018531,           0.0035816,             0.97403,             0.96521,             0.99232,             0.57279,            0.031594,            0.013219,           0.0017887,           0.0022196,           0.0022196,           0.0022196
                  40,            0.032623,            0.018406,             0.00321,             0.94862,             0.96539,             0.97072,             0.55661,            0.032515,            0.013233,           0.0015911,           0.0020327,           0.0020327,           0.0020327
                  41,            0.030649,            0.018557,           0.0035253,             0.97603,             0.97862,             0.99139,             0.56667,            0.031836,            0.013181,           0.0015904,           0.0018594,           0.0018594,           0.0018594
                  42,            0.029083,             0.01653,            0.003439,             0.95976,             0.97135,             0.99097,             0.56982,              0.0312,            0.013308,           0.0016736,           0.0017005,           0.0017005,           0.0017005
                  43,            0.030835,            0.018565,           0.0033001,             0.97288,              0.9636,             0.99085,             0.56922,            0.032467,             0.01336,           0.0016214,           0.0015566,           0.0015566,           0.0015566
                  44,            0.028913,             0.01811,            0.002971,             0.97626,             0.95635,             0.98931,             0.57018,            0.030693,             0.01325,           0.0015209,           0.0014283,           0.0014283,           0.0014283
                  45,            0.026905,            0.017108,           0.0029353,             0.96321,             0.98864,             0.98907,             0.59245,            0.031705,            0.013076,           0.0014344,            0.001316,            0.001316,            0.001316
                  46,            0.027101,            0.017634,           0.0023375,             0.96043,             0.97618,             0.98968,             0.58301,             0.03053,            0.013224,           0.0013142,           0.0012202,           0.0012202,           0.0012202
                  47,            0.024757,             0.01704,           0.0021077,             0.95053,             0.98288,             0.99067,              0.5832,            0.030025,            0.013418,           0.0012414,           0.0011414,           0.0011414,           0.0011414
                  48,            0.025559,            0.016311,           0.0023118,             0.97243,             0.96071,             0.98971,             0.58619,            0.030047,            0.013395,           0.0012302,           0.0010797,           0.0010797,           0.0010797
                  49,            0.025097,             0.01649,           0.0023266,             0.98082,              0.9618,             0.99004,             0.58587,            0.030201,            0.013461,           0.0012428,           0.0010355,           0.0010355,           0.0010355
