               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079601,            0.040525,            0.025613,             0.11406,             0.19246,            0.092994,            0.020636,            0.096769,            0.020264,            0.023533,             0.00028,             0.00028,             0.09748
                   1,            0.067564,             0.03063,             0.01703,             0.17033,             0.26496,             0.13999,            0.024298,             0.11397,             0.02248,            0.086131,          0.00056949,          0.00056949,            0.094869
                   2,            0.068172,            0.032349,            0.018695,             0.21069,             0.38947,             0.19101,            0.061534,            0.070581,             0.12433,            0.017435,          0.00085695,          0.00085695,            0.092257
                   3,            0.064189,            0.032321,            0.015963,             0.47913,             0.32308,             0.35382,             0.10493,            0.070937,             0.17977,            0.019432,           0.0011408,           0.0011408,            0.089641
                   4,            0.061289,             0.03318,            0.015317,             0.60442,             0.31453,             0.27817,            0.071622,            0.066737,            0.033116,            0.021364,           0.0014196,           0.0014196,             0.08702
                   5,            0.061281,            0.033936,            0.014962,             0.32533,              0.3684,             0.25952,            0.092634,            0.067245,            0.063764,            0.020778,           0.0016919,           0.0016919,            0.084392
                   6,            0.060855,            0.032462,            0.014389,             0.33925,             0.19829,             0.15541,            0.033053,            0.074116,            0.066654,            0.035619,           0.0019562,           0.0019562,            0.081756
                   7,             0.05941,             0.03358,            0.014285,             0.32689,             0.46912,             0.32491,             0.10007,             0.06273,            0.038634,            0.016854,           0.0022111,           0.0022111,            0.079111
                   8,            0.057797,            0.032917,            0.014617,             0.48346,             0.38632,              0.4042,             0.15351,            0.057875,            0.050043,            0.011948,           0.0024553,           0.0024553,            0.076455
                   9,            0.060243,            0.035376,            0.014801,             0.89133,             0.24738,             0.27709,             0.09635,             0.06329,            0.036867,            0.016395,           0.0026875,           0.0026875,            0.073788
                  10,            0.058905,            0.032604,            0.014271,             0.28936,             0.40672,             0.20453,              0.0587,            0.063258,            0.060134,              0.0356,           0.0029067,           0.0029067,            0.071107
                  11,            0.056232,            0.032285,            0.013807,             0.58465,             0.57761,             0.60303,             0.20281,            0.056685,            0.035617,             0.01132,           0.0031117,           0.0031117,            0.068412
